QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.String parse_attr()> r0.pos = $i4,r0 (FilterImpl$Parser.parse_attr));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_item(org.eclipse.osgi.framework.internal.core.FilterImpl)> $i5 = r0.pos,r0 (FilterImpl$Parser.parse_item));true;81;false;true;421;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filter(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i3,r0 (FilterImpl$Parser.parse_filter));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.Object parse_substring()> r0.pos = $i8,r0 (FilterImpl$Parser.parse_substring));true;80;false;true;416;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)> r0.language = $r6,r0 (BundleNativeCode.addAttribute));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleNativeCode: int matchLanguage(java.lang.String)> $r2 = r0.language,r0 (BundleNativeCode.matchLanguage));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.service.resolver.VersionRange: boolean equals(java.lang.Object)> $z3 = r0.includeMin,r0 (VersionRange.equals));BackwardQuery: (<org.eclipse.osgi.service.resolver.VersionRange: void <init>(java.lang.String)> r0.includeMin = varReplacer4620,r0 (VersionRange.<init>));true;-1;true;true;-1;true;true;2;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.Framework: void initialize(org.eclipse.osgi.framework.adaptor.FrameworkAdaptor)> r0.startLevelManager = $r4,r0 (Framework.initialize));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.SystemBundle: void resume()> $r2 = $r1.startLevelManager,$r1 (SystemBundle.resume));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filtercomp(org.eclipse.osgi.framework.internal.core.FilterImpl)> $i6 = r0.pos,r0 (FilterImpl$Parser.parse_filtercomp));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.String parse_attr()> r0.pos = $i4,r0 (FilterImpl$Parser.parse_attr));true;77;false;true;407;false;true;0;false
BackwardQuery: (<org.osgi.util.tracker.ServiceTracker: java.lang.Object getService(org.osgi.framework.ServiceReference)> r2 = r0.tracked,r0 (ServiceTracker.getService));BackwardQuery: (<org.osgi.util.tracker.ServiceTracker: void open(boolean)> r0.tracked = $r23,r0 (ServiceTracker.open));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.String parse_attr()> i7 = r0.pos,r0 (FilterImpl$Parser.parse_attr));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_item(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i25,r0 (FilterImpl$Parser.parse_item));true;77;false;true;408;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.StartLevelManager: int getFrameworkStartLevel()> $i0 = r0.frameworkBeginningStartLevel,r0 (StartLevelManager.getFrameworkStartLevel));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.StartLevelManager: void initialize()> r0.frameworkBeginningStartLevel = $i2,r0 (StartLevelManager.initialize));true;-1;true;true;-1;true;true;3;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ConditionalPermissionSet: void <init>(org.eclipse.osgi.framework.internal.core.ConditionalPermissionInfoImpl[],org.osgi.service.condpermadmin.Condition[])> r0.neededConditions = r2,r0 (ConditionalPermissionSet.<init>));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ConditionalPermissionSet: void addConditionalPermissionInfo(org.eclipse.osgi.framework.internal.core.ConditionalPermissionInfoImpl)> $r4 = r0.neededConditions,r0 (ConditionalPermissionSet.addConditionalPermissionInfo));true;-1;true;true;-1;true;true;4;false
