QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> r0.curChar = $c18,r0 (QueryParserTokenManager.jjMoveNfa_1));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> $c73 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;278;false;true;0;false
BackwardQuery: (<org.apache.lucene.analysis.standard.ParseException: java.lang.String getMessage()> $r14 = r0.eol,r0 (ParseException.getMessage));BackwardQuery: (<org.apache.lucene.analysis.standard.ParseException: void <init>()> r0.eol = $r1,r0 (ParseException.<init>));false;1;false;true;-1;true;true;2;false
BackwardQuery: (<org.apache.lucene.search.WildcardTermEnum: boolean endEnum()> $z0 = r0.endEnum,r0 (WildcardTermEnum.endEnum));BackwardQuery: (<org.apache.lucene.search.WildcardTermEnum: boolean termCompare(org.apache.lucene.index.Term)> r0.endEnum = varReplacer2479,r0 (WildcardTermEnum.termCompare));true;51;false;true;264;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: void ReInit(org.apache.lucene.queryParser.CharStream)> r0.jjnewStateCnt = varReplacer2411,r0 (QueryParserTokenManager.ReInit));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> r0.jjnewStateCnt = $i58,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;276;false;true;1;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: void jj_rescan_token()> r3 = r3.next,r3 (QueryParser.jj_rescan_token));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: void jj_save(int,int)> r5.next = $r4,r5 (QueryParser.jj_save));true;-1;true;true;282;false;true;987;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: org.apache.lucene.queryParser.Token getNextToken()> r0.curChar = $c25,r0 (QueryParserTokenManager.getNextToken));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> $c114 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;283;false;true;0;false
BackwardQuery: (<org.apache.lucene.search.BooleanScorer2: void <init>(org.apache.lucene.search.Similarity,int)> r0.requiredScorers = $r2,r0 (BooleanScorer2.<init>));BackwardQuery: (<org.apache.lucene.search.BooleanScorer2: org.apache.lucene.search.Scorer dualConjunctionSumScorer(org.apache.lucene.search.Scorer,org.apache.lucene.search.Scorer)> $r4 = r0.requiredScorers,r0 (BooleanScorer2.dualConjunctionSumScorer));true;-1;true;true;-1;true;true;3;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: void jj_rescan_token()> r0.jj_scanpos = $r2,r0 (QueryParser.jj_rescan_token));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: boolean jj_scan_token(int)> $r17 = r0.jj_scanpos,r0 (QueryParser.jj_scan_token));true;-1;true;true;281;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> $r2 = r0.jjstateSet,r0 (QueryParserTokenManager.jjMoveNfa_1));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: void <init>(org.apache.lucene.queryParser.CharStream)> r0.jjstateSet = $r4,r0 (QueryParserTokenManager.<init>));true;-1;true;true;279;false;true;-1;true
BackwardQuery: (<org.apache.lucene.analysis.standard.StandardTokenizer: org.apache.lucene.analysis.standard.Token jj_consume_token(int)> $r5 = r0.token,r0 (StandardTokenizer.jj_consume_token));BackwardQuery: (<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)> r0.token = $r5,r0 (StandardTokenizer.<init>));true;349;false;false;295;false;true;-1;true
BackwardQuery: (<org.apache.lucene.search.PhrasePositions: boolean next()> r0.doc = varReplacer3688,r0 (PhrasePositions.next));BackwardQuery: (<org.apache.lucene.search.PhrasePositions: boolean skipTo(int)> r0.doc = $i1,r0 (PhrasePositions.skipTo));true;-1;true;true;-1;true;true;12;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> $r71 = r83.image,r83 (QueryParser.Term));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> r89.image = $r50,r89 (QueryParser.Term));true;-1;true;true;-1;true;true;567;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> r91.image = $r25,r91 (QueryParser.Term));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> $r56 = r90.image,r90 (QueryParser.Term));true;-1;true;true;-1;true;true;257;false
